event,period,play_clock,home_score,away_score,margin,player_name,player_team,home_team,away_team,wall_clock
SP,1,12:00,0,0,0,,,OKC,MIL,8:13 PM
IN,1,12:00,0,0,0,Chet Holmgren,OKC,OKC,MIL,8:13 PM
IN,1,12:00,0,0,0,Shai Gilgeous-Alexander,OKC,OKC,MIL,8:13 PM
IN,1,12:00,0,0,0,Gordon Hayward,OKC,OKC,MIL,8:13 PM
IN,1,12:00,0,0,0,Luguentz Dort,OKC,OKC,MIL,8:13 PM
IN,1,12:00,0,0,0,Jalen Williams,OKC,OKC,MIL,8:13 PM
IN,1,12:00,0,0,0,Bobby Portis,MIL,OKC,MIL,8:13 PM
IN,1,12:00,0,0,0,Brook Lopez,MIL,OKC,MIL,8:13 PM
IN,1,12:00,0,0,0,Malik Beasley,MIL,OKC,MIL,8:13 PM
IN,1,12:00,0,0,0,Khris Middleton,MIL,OKC,MIL,8:13 PM
IN,1,12:00,0,0,0,Patrick Beverley,MIL,OKC,MIL,8:13 PM
JM,1,12:00,0,0,0,Chet Holmgren,OKC,OKC,MIL,8:14 PM
AS,1,11:42,2,0,-2,Patrick Beverley,MIL,OKC,MIL,8:14 PM
2MA,1,11:42,2,0,-2,Bobby Portis,MIL,OKC,MIL,8:14 PM
3MI,1,11:27,2,0,-2,Chet Holmgren,OKC,OKC,MIL,8:14 PM
TR,1,11:25,2,0,-2,,,OKC,MIL,8:14 PM
2MA,1,11:18,2,2,TIE,Shai Gilgeous-Alexander,OKC,OKC,MIL,8:15 PM
3MI,1,11:02,2,2,TIE,Brook Lopez,MIL,OKC,MIL,8:15 PM
DR,1,11:00,2,2,TIE,Gordon Hayward,OKC,OKC,MIL,8:15 PM
FD,1,10:48,2,2,TIE,Chet Holmgren,OKC,OKC,MIL,8:16 PM
FL,1,10:48,2,2,TIE,Brook Lopez,MIL,OKC,MIL,8:16 PM
1MA,1,10:48,2,3,1,Chet Holmgren,OKC,OKC,MIL,8:16 PM
1MA,1,10:48,2,4,2,Chet Holmgren,OKC,OKC,MIL,8:16 PM
AS,1,10:33,5,4,-1,Khris Middleton,MIL,OKC,MIL,8:16 PM
3MA,1,10:33,5,4,-1,Malik Beasley,MIL,OKC,MIL,8:16 PM
2MI,1,10:21,5,4,-1,Shai Gilgeous-Alexander,OKC,OKC,MIL,8:17 PM
DR,1,10:19,5,4,-1,Khris Middleton,MIL,OKC,MIL,8:17 PM
2MA,1,10:07,7,4,-3,Khris Middleton,MIL,OKC,MIL,8:17 PM
FD,1,10:00,7,4,-3,Bobby Portis,MIL,OKC,MIL,8:17 PM
FL,1,10:00,7,4,-3,Luguentz Dort,OKC,OKC,MIL,8:17 PM
AS,1,9:47,7,6,-1,Chet Holmgren,OKC,OKC,MIL,8:18 PM
2MA,1,9:47,7,6,-1,Jalen Williams,OKC,OKC,MIL,8:18 PM
AS,1,9:26,9,6,-3,Khris Middleton,MIL,OKC,MIL,8:18 PM
2MA,1,9:26,9,6,-3,Brook Lopez,MIL,OKC,MIL,8:18 PM
2MA,1,9:14,9,8,-1,Shai Gilgeous-Alexander,OKC,OKC,MIL,8:18 PM
3MI,1,8:59,9,8,-1,Brook Lopez,MIL,OKC,MIL,8:18 PM
DR,1,8:57,9,8,-1,Gordon Hayward,OKC,OKC,MIL,8:18 PM
2MI,1,8:52,9,8,-1,Shai Gilgeous-Alexander,OKC,OKC,MIL,8:19 PM
DR,1,8:50,9,8,-1,Khris Middleton,MIL,OKC,MIL,8:19 PM
2MI,1,8:38,9,8,-1,Bobby Portis,MIL,OKC,MIL,8:19 PM
DR,1,8:36,9,8,-1,Jalen Williams,OKC,OKC,MIL,8:19 PM
2MI,1,8:29,9,8,-1,Jalen Williams,OKC,OKC,MIL,8:19 PM
OR,1,8:27,9,8,-1,Gordon Hayward,OKC,OKC,MIL,8:19 PM
2MA,1,8:26,9,10,1,Gordon Hayward,OKC,OKC,MIL,8:19 PM
2MA,1,8:12,11,10,-1,Patrick Beverley,MIL,OKC,MIL,8:19 PM
2MA,1,7:57,11,12,1,Jalen Williams,OKC,OKC,MIL,8:19 PM
BL,1,7:38,11,12,1,Chet Holmgren,OKC,OKC,MIL,8:20 PM
2MI,1,7:38,11,12,1,Khris Middleton,MIL,OKC,MIL,8:20 PM
DR,1,7:36,11,12,1,Jalen Williams,OKC,OKC,MIL,8:20 PM
AS,1,7:30,11,15,4,Jalen Williams,OKC,OKC,MIL,8:20 PM
3MA,1,7:30,11,15,4,Luguentz Dort,OKC,OKC,MIL,8:20 PM
OT,1,7:28,11,15,4,Bobby Portis,MIL,OKC,MIL,8:20 PM
IN,1,7:28,11,15,4,Jae Crowder,MIL,OKC,MIL,8:20 PM
TM,1,7:28,11,15,4,,,OKC,MIL,8:20 PM
BL,1,7:16,11,15,4,Chet Holmgren,OKC,OKC,MIL,8:23 PM
2MI,1,7:16,11,15,4,Jae Crowder,MIL,OKC,MIL,8:23 PM
OR,1,7:12,11,15,4,Jae Crowder,MIL,OKC,MIL,8:23 PM
2MI,1,7:11,11,15,4,Jae Crowder,MIL,OKC,MIL,8:23 PM
OR,1,7:11,11,15,4,Brook Lopez,MIL,OKC,MIL,8:23 PM
2MA,1,7:06,13,15,2,Brook Lopez,MIL,OKC,MIL,8:23 PM
2MI,1,6:59,13,15,2,Shai Gilgeous-Alexander,OKC,OKC,MIL,8:24 PM
OR,1,6:57,13,15,2,Gordon Hayward,OKC,OKC,MIL,8:24 PM
3MI,1,6:50,13,15,2,Luguentz Dort,OKC,OKC,MIL,8:24 PM
DR,1,6:45,13,15,2,Jae Crowder,MIL,OKC,MIL,8:24 PM
OT,1,6:37,13,15,2,Patrick Beverley,MIL,OKC,MIL,8:24 PM
IN,1,6:37,13,15,2,Pat Connaughton,MIL,OKC,MIL,8:24 PM
FD,1,6:37,13,15,2,Brook Lopez,MIL,OKC,MIL,8:24 PM
FL,1,6:37,13,15,2,Luguentz Dort,OKC,OKC,MIL,8:24 PM
1MA,1,6:37,14,15,1,Brook Lopez,MIL,OKC,MIL,8:24 PM
1MA,1,6:37,15,15,TIE,Brook Lopez,MIL,OKC,MIL,8:25 PM
2MA,1,6:33,15,17,2,Jalen Williams,OKC,OKC,MIL,8:25 PM
AS,1,6:17,17,17,TIE,Khris Middleton,MIL,OKC,MIL,8:25 PM
2MA,1,6:17,17,17,TIE,Brook Lopez,MIL,OKC,MIL,8:25 PM
AS,1,6:08,17,19,2,Shai Gilgeous-Alexander,OKC,OKC,MIL,8:25 PM
2MA,1,6:08,17,19,2,Chet Holmgren,OKC,OKC,MIL,8:25 PM
2MI,1,5:53,17,19,2,Khris Middleton,MIL,OKC,MIL,8:26 PM
DR,1,5:51,17,19,2,Chet Holmgren,OKC,OKC,MIL,8:26 PM
3MI,1,5:48,17,19,2,Shai Gilgeous-Alexander,OKC,OKC,MIL,8:26 PM
DR,1,5:45,17,19,2,Malik Beasley,MIL,OKC,MIL,8:26 PM
3MI,1,5:32,17,19,2,Malik Beasley,MIL,OKC,MIL,8:26 PM
DR,1,5:29,17,19,2,Shai Gilgeous-Alexander,OKC,OKC,MIL,8:26 PM
3MI,1,5:24,17,19,2,Luguentz Dort,OKC,OKC,MIL,8:26 PM
OR,1,5:22,17,19,2,Shai Gilgeous-Alexander,OKC,OKC,MIL,8:26 PM
2MA,1,5:19,17,21,4,Shai Gilgeous-Alexander,OKC,OKC,MIL,8:26 PM
AS,1,5:00,20,21,1,Brook Lopez,MIL,OKC,MIL,8:26 PM
3MA,1,5:00,20,21,1,Khris Middleton,MIL,OKC,MIL,8:26 PM
OT,1,4:50,20,21,1,Chet Holmgren,OKC,OKC,MIL,8:26 PM
OT,1,4:50,20,21,1,Gordon Hayward,OKC,OKC,MIL,8:26 PM
IN,1,4:50,20,21,1,Jaylin Williams,OKC,OKC,MIL,8:26 PM
IN,1,4:50,20,21,1,Kenrich Williams,OKC,OKC,MIL,8:26 PM
IN,1,4:50,20,21,1,Bobby Portis,MIL,OKC,MIL,8:26 PM
OT,1,4:50,20,21,1,Brook Lopez,MIL,OKC,MIL,8:26 PM
FD,1,4:50,20,21,1,Shai Gilgeous-Alexander,OKC,OKC,MIL,8:27 PM
FL,1,4:50,20,21,1,Brook Lopez,MIL,OKC,MIL,8:27 PM
1MA,1,4:50,20,22,2,Shai Gilgeous-Alexander,OKC,OKC,MIL,8:27 PM
1MA,1,4:50,20,23,3,Shai Gilgeous-Alexander,OKC,OKC,MIL,8:28 PM
2MI,1,4:33,20,23,3,Bobby Portis,MIL,OKC,MIL,8:28 PM
DR,1,4:33,20,23,3,Jaylin Williams,OKC,OKC,MIL,8:28 PM
AS,1,4:22,20,26,6,Luguentz Dort,OKC,OKC,MIL,8:28 PM
3MA,1,4:22,20,26,6,Jalen Williams,OKC,OKC,MIL,8:28 PM
ST,1,4:11,20,26,6,Luguentz Dort,OKC,OKC,MIL,8:28 PM
TO,1,4:11,20,26,6,Khris Middleton,MIL,OKC,MIL,8:28 PM
3MI,1,4:04,20,26,6,Jaylin Williams,OKC,OKC,MIL,8:29 PM
DR,1,4:00,20,26,6,Khris Middleton,MIL,OKC,MIL,8:29 PM
AS,1,3:51,23,26,3,Bobby Portis,MIL,OKC,MIL,8:29 PM
3MA,1,3:51,23,26,3,Malik Beasley,MIL,OKC,MIL,8:29 PM
OT,1,3:47,23,26,3,Jalen Williams,OKC,OKC,MIL,8:29 PM
IN,1,3:47,23,26,3,Cason Wallace,OKC,OKC,MIL,8:29 PM
OT,1,3:47,23,26,3,Malik Beasley,MIL,OKC,MIL,8:29 PM
OT,1,3:47,23,26,3,Khris Middleton,MIL,OKC,MIL,8:29 PM
IN,1,3:47,23,26,3,Patrick Beverley,MIL,OKC,MIL,8:29 PM
IN,1,3:47,23,26,3,Andre Jackson Jr.,MIL,OKC,MIL,8:29 PM
TM,1,3:47,23,26,3,,,OKC,MIL,8:29 PM
2MA,1,3:34,23,28,5,Shai Gilgeous-Alexander,OKC,OKC,MIL,8:32 PM
2MI,1,3:04,23,28,5,Patrick Beverley,MIL,OKC,MIL,8:33 PM
DR,1,3:03,23,28,5,Shai Gilgeous-Alexander,OKC,OKC,MIL,8:33 PM
OT,1,2:55,23,28,5,Luguentz Dort,OKC,OKC,MIL,8:33 PM
IN,1,2:55,23,28,5,Isaiah Joe,OKC,OKC,MIL,8:33 PM
FD,1,2:55,23,28,5,Shai Gilgeous-Alexander,OKC,OKC,MIL,8:33 PM
FL,1,2:55,23,28,5,Andre Jackson Jr.,MIL,OKC,MIL,8:33 PM
1MA,1,2:55,23,29,6,Shai Gilgeous-Alexander,OKC,OKC,MIL,8:33 PM
1MA,1,2:55,23,30,7,Shai Gilgeous-Alexander,OKC,OKC,MIL,8:34 PM
AS,1,2:44,25,30,5,Patrick Beverley,MIL,OKC,MIL,8:34 PM
2MA,1,2:44,25,30,5,Pat Connaughton,MIL,OKC,MIL,8:34 PM
AS,1,2:18,25,32,7,Isaiah Joe,OKC,OKC,MIL,8:34 PM
2MA,1,2:18,25,32,7,Kenrich Williams,OKC,OKC,MIL,8:34 PM
ST,1,2:06,25,32,7,Kenrich Williams,OKC,OKC,MIL,8:35 PM
TO,1,2:06,25,32,7,Andre Jackson Jr.,MIL,OKC,MIL,8:35 PM
